Date,Open,High,Low,Close,Volume
2021-02-15 00:00:00+05:30,2820.958008762423,2820.958008762423,2752.873540069198,2760.169921875,2630853
2021-02-16 00:00:00+05:30,2769.0924397531107,2784.6080623380185,2725.1385915030614,2732.87451171875,3435770
2021-02-17 00:00:00+05:30,2729.6214240518893,2754.015804952722,2677.2723583302145,2701.490966796875,3678426
2021-02-18 00:00:00+05:30,2694.371338409791,2723.292889441269,2664.482716711281,2687.646484375,4189909
2021-02-19 00:00:00+05:30,2688.217762764799,2713.842774296299,2651.4283004060762,2700.39306640625,3725028
2021-02-22 00:00:00+05:30,2721.6218962319185,2721.6218962319185,2587.254915410718,2600.704833984375,5366696
2021-02-23 00:00:00+05:30,2610.8588962684134,2661.8453662965508,2609.100742129512,2619.825439453125,3832829
2021-02-24 00:00:00+05:30,2612.617033712622,2640.176185511166,2567.915879169328,2591.607177734375,3774549
2021-02-25 00:00:00+05:30,2614.3749823229737,2663.5153004809417,2609.496062078548,2633.099365234375,4224073
2021-02-26 00:00:00+05:30,2602.0673142498813,2612.923998519855,2531.741170621506,2544.31201171875,5553153
2021-03-01 00:00:00+05:30,2572.179061062959,2606.463060851563,2550.9054425793493,2570.5966796875,3265871
2021-03-02 00:00:00+05:30,2602.06768713035,2659.2076870166584,2591.518764074416,2642.81298828125,3306469
2021-03-03 00:00:00+05:30,2667.9987284991294,2693.49196181922,2634.505808531232,2689.1845703125,3509857
2021-03-04 00:00:00+05:30,2657.449829088751,2708.8318379382204,2651.340286728885,2680.921142578125,3916760
2021-03-05 00:00:00+05:30,2651.383985179007,2692.7883793543356,2634.2419852330613,2644.307373046875,3203686
2021-03-08 00:00:00+05:30,2651.2957762968877,2666.2400827282695,2633.714239318792,2643.340087890625,2003125
2021-03-09 00:00:00+05:30,2643.3403896236246,2696.0410098074835,2630.2862256983,2682.019775390625,1942397
2021-03-10 00:00:00+05:30,2703.1616229327706,2719.160780509051,2689.975468674562,2699.601318359375,3053778
2021-03-12 00:00:00+05:30,2703.161890397907,2740.0831259740735,2673.5810339324644,2688.173583984375,2938317
2021-03-15 00:00:00+05:30,2673.2736196895444,2724.260094514271,2673.2736196895444,2695.38232421875,3097083
2021-03-16 00:00:00+05:30,2689.975783366755,2761.181024691169,2689.975783366755,2733.9736328125,4894756
2021-03-17 00:00:00+05:30,2729.5338423325,2773.487688424811,2712.216069895808,2736.5224609375,3838390
2021-03-18 00:00:00+05:30,2747.950528336439,2765.971605676394,2625.846826743809,2669.317138671875,3656306
2021-03-19 00:00:00+05:30,2663.603525927916,2724.2598438450864,2641.6265991463324,2681.36083984375,5776626
2021-03-22 00:00:00+05:30,2680.041887934514,2759.818122141022,2653.6255823341885,2751.203125,2821646
2021-03-23 00:00:00+05:30,2760.3012284718334,2785.794456378102,2745.2251467815067,2762.5869140625,3305973
2021-03-24 00:00:00+05:30,2734.98450832801,2771.114661370174,2734.940511551291,2743.6875,2207104
2021-03-25 00:00:00+05:30,2735.862433782267,2752.2573428342785,2681.1839065462045,2694.23828125,3179786
2021-03-26 00:00:00+05:30,2716.9192266843957,2740.962068326735,2675.0752905252434,2695.953369140625,3697370
2021-03-30 00:00:00+05:30,2710.194810310339,2802.893451378615,2690.7671197572026,2776.609130859375,4694008
2021-03-31 00:00:00+05:30,2773.4874709541155,2817.4413135999807,2753.268703337017,2793.574462890625,3530069
2021-04-01 00:00:00+05:30,2805.2225588414717,2826.232412232795,2764.697025341257,2782.278564453125,4285076
2021-04-05 00:00:00+05:30,2787.553188722842,2868.4282733530854,2769.9716485858326,2847.242431640625,5317862
2021-04-06 00:00:00+05:30,2878.9776331677685,2878.9776331677685,2839.4191618723335,2869.923095703125,2291562
2021-04-07 00:00:00+05:30,2864.911301067923,2881.2182186877626,2843.6376853583197,2875.811767578125,2491268
2021-04-08 00:00:00+05:30,2874.5816745617008,2931.721677267056,2871.1093634748245,2916.2060546875,2578118
2021-04-09 00:00:00+05:30,2948.424367663105,2948.7321304719153,2907.986824159079,2920.513671875,2911129
2021-04-12 00:00:00+05:30,2920.513116819695,2934.4465709871874,2824.649741699711,2853.967041015625,3791828
2021-04-13 00:00:00+05:30,2825.35319397879,2825.35319397879,2701.44734620822,2728.69873046875,8654596
2021-04-15 00:00:00+05:30,2778.146814676858,2845.7917402961693,2714.105975634484,2829.70458984375,6062760
2021-04-16 00:00:00+05:30,2838.53881615614,2854.3621976026593,2797.7497409413404,2808.781982421875,3224657
2021-04-19 00:00:00+05:30,2785.794642666172,2803.3761803289435,2755.994022175126,2779.46533203125,2679106
2021-04-20 00:00:00+05:30,2835.0227118207445,2835.3304745515425,2748.30187037472,2764.301025390625,3141893
2021-04-22 00:00:00+05:30,2767.3345341010545,2767.3345341010545,2729.753990475635,2741.66552734375,1988980
2021-04-23 00:00:00+05:30,2729.5336560747555,2741.840732140793,2717.270576775486,2733.489501953125,1615309
2021-04-26 00:00:00+05:30,2726.9411315193793,2771.7300663568353,2714.6340522523333,2725.84228515625,2490260
2021-04-27 00:00:00+05:30,2730.4130419734793,2756.8733443576716,2727.7758110894097,2753.26904296875,1471417
2021-04-28 00:00:00+05:30,2769.0484739187477,2769.9715476659917,2735.6875456479106,2746.324462890625,1639037
