Date,Open,High,Low,Close,Volume
2021-02-15 00:00:00+05:30,1162.0226695746428,1169.4173807823101,1150.6665174479708,1152.911376953125,4363513
2021-02-16 00:00:00+05:30,1156.7408695352747,1161.8027112398622,1132.0919012346753,1135.96533203125,6896421
2021-02-17 00:00:00+05:30,1135.9652382472548,1139.574529672526,1122.408285308977,1127.954345703125,4575741
2021-02-18 00:00:00+05:30,1123.2889129418431,1149.6985268824822,1122.4085924771553,1137.7701416015625,6437551
2021-02-19 00:00:00+05:30,1140.983163556862,1143.9762741850557,1123.9930455849908,1136.7576904296875,5389696
2021-02-22 00:00:00+05:30,1140.014714143002,1151.9430964143678,1109.2035056526506,1113.7811279296875,7371303
2021-02-23 00:00:00+05:30,1119.0192820160923,1136.4936202150407,1107.0469462387894,1114.793701171875,6612942
2021-02-24 00:00:00+05:30,1109.2476716611327,1123.8169086048074,1102.1610500403006,1121.792236328125,4537258
2021-02-25 00:00:00+05:30,1134.2488192251344,1144.1964831051553,1119.767591082714,1122.012451171875,8788221
2021-02-26 00:00:00+05:30,1117.1264049578488,1121.792145299428,1095.7786387480553,1103.305419921875,15132388
2021-03-01 00:00:00+05:30,1112.1088242428739,1130.771574073075,1108.3234034706122,1115.365966796875,5756286
2021-03-02 00:00:00+05:30,1128.7908013352219,1153.2196917521082,1126.1057812059096,1148.3779296875,10461434
2021-03-03 00:00:00+05:30,1161.3183891733065,1185.791334230148,1151.458845711235,1182.7542724609375,9056399
2021-03-04 00:00:00+05:30,1175.2276663901384,1200.6248869768604,1167.2167727031958,1171.1341552734375,12041941
2021-03-05 00:00:00+05:30,1169.5056212884995,1179.629305627843,1148.8621514244057,1159.1177978515625,6486176
2021-03-08 00:00:00+05:30,1166.2484743431805,1184.999233830919,1159.5579535326617,1175.887939453125,5119392
2021-03-09 00:00:00+05:30,1170.3859515587133,1188.8286206353612,1160.922507422379,1184.51513671875,6518173
2021-03-10 00:00:00+05:30,1194.5066746296966,1209.5601307472373,1192.8340445141969,1204.4102783203125,7925984
2021-03-12 00:00:00+05:30,1208.6797785376261,1225.1417252536396,1206.0828766227546,1210.308349609375,9462061
2021-03-15 00:00:00+05:30,1206.0386325529785,1214.7538237256626,1195.9149506008914,1209.207763671875,6658635
2021-03-16 00:00:00+05:30,1220.1679808287263,1237.7303276282514,1215.2821602352783,1218.36328125,9352771
2021-03-17 00:00:00+05:30,1225.625954097866,1232.4484365142844,1216.602670901958,1221.0042724609375,7626744
2021-03-18 00:00:00+05:30,1226.9464622249845,1226.9464622249845,1156.3007556107748,1177.0762939453125,10961755
2021-03-19 00:00:00+05:30,1170.8259242505767,1193.009951409885,1160.2620813250076,1183.5465087890625,12767112
2021-03-22 00:00:00+05:30,1188.5203483359587,1211.320664308968,1176.1958648328152,1206.7430419921875,4862758
2021-03-23 00:00:00+05:30,1208.1955225939473,1217.703024581029,1196.883428513493,1207.4033203125,7165335
2021-03-24 00:00:00+05:30,1195.3430568663478,1206.4350726296036,1185.1313615201914,1191.7337646484375,6134303
2021-03-25 00:00:00+05:30,1185.5713696026812,1190.6332113514952,1168.713214286175,1174.1712646484375,8749994
2021-03-26 00:00:00+05:30,1183.7665352097747,1194.3303776566624,1172.5865116045368,1176.2838134765625,4922071
2021-03-30 00:00:00+05:30,1185.7034898821278,1232.4484785402813,1176.240046207622,1219.5078125,10546381
2021-03-31 00:00:00+05:30,1216.6025678799429,1221.8844893034448,1200.1406224277484,1204.3221435546875,8220987
2021-04-01 00:00:00+05:30,1214.841933392189,1225.0536267024227,1206.919051217892,1219.4195556640625,5675155
2021-04-05 00:00:00+05:30,1224.5254995692171,1254.4563888469693,1221.004218477717,1241.16357421875,9479572
2021-04-06 00:00:00+05:30,1252.6958101867913,1255.336771135885,1238.1264659665671,1242.176025390625,5793571
2021-04-07 00:00:00+05:30,1241.471830878925,1263.2157015429689,1238.2586399609468,1259.0341796875,5879234
2021-04-08 00:00:00+05:30,1258.857920022219,1277.9608258941146,1250.9350380080934,1267.529052734375,5654434
2021-04-09 00:00:00+05:30,1280.8659961023566,1280.8659961023566,1258.9020482944743,1268.5855712890625,6052712
2021-04-12 00:00:00+05:30,1297.5922809609524,1300.7174613927093,1245.6533769062062,1255.1168212890625,20384532
2021-04-13 00:00:00+05:30,1261.4989124502106,1263.4796330036042,1210.4403381849543,1229.939453125,14855206
2021-04-15 00:00:00+05:30,1172.850803933445,1202.869705317751,1162.0228210258588,1197.8958740234375,25342491
2021-04-16 00:00:00+05:30,1201.6373693408068,1206.787222288641,1185.4394521739785,1191.7337646484375,10879878
